house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
"Rumah Hitung Tanah Bagus di Komplek Cenderawasih Andir, Bandung","Andir, Bandung",8,4,4,4200000000,655,250
JUAL MURAH DIBAWAH NJOP HITUNG TANHH SJJA RUMAH BAGUS DI ANDIR,"Andir, Bandung",8,4,4,4200000000,665,250
Jual Rumah Bisa Untuk Gudang Dan Ruang Usaha Di Rajawali Sakti,"Andir, Bandung",2,2,0,3900000000,270,450
dijual cepat rumah 2 lantai,"Andir, Bandung",2,1,1,890000000,78,45
BU Rumah Pusat Kota Katapang Kencana Sudirman,"Andir, Bandung",2,1,1,890000000,78,45
Dijual Rumah Sayap Rajawali Hitung Tanah Masih Berjalan Kost ,"Andir, Bandung",8,8,0,1400000000,237,150
Dijual Rumah di Rajawali Bandung,"Andir, Bandung",5,4,0,2200000000,87,150
Rumah Bagus 3 Lantai Siap Huni di Sayap Rajawali,"Andir, Bandung",3,3,1,3250000000,184,300
"5,6 M Nego Rumah Besar di Kompleks Dadali Rajawali Lt 394 M2 Lb 420 M2","Andir, Bandung",0,0,0,5600000000,394,420
Rumah Hitung Tanah Strategis di Pusat Kota Bandung Jalan Dulatip,"Andir, Bandung",3,2,0,5000000000,107,100
"Dijual rumah 1,5 lantai sayap Sudirman Bandung","Andir, Bandung",3,2,2,1800000000,140,90
"Rumah Dijual Strategis 3,5 Lantai di Mainroad Garuda , Bandung","Andir, Bandung",6,2,4,9500000000,391,500
Rumah Komplek DADALI Bandung,"Andir, Bandung",3,2,1,2500000000,200,150
Dijual Rumah Baru 2 Lantai Tengah Kota Dalam Cluster,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual Rumah Murah di Rajawali Sakti,"Andir, Bandung",4,1,1,1100000000,97,90
Dijual Rumah Hitung Tanah Luas Main Road Cibereum Andir Kota Bandung,"Andir, Bandung",6,4,5,23000000000,1012,500
Dijual Rumah Cantik Minimalis Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,1,1500000000,74,100
"Dijual Rumah Baru SHM Ditengah Kota Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116
Rumah di Rajawali dekat ke Bandara Husein,"Andir, Bandung",3,2,0,1150000000,127,128
DIJUAL RUMAH BARU LOKASI STRATEGIS TENGAH KOTA ONE GATE DAERAH ANDIR BANDUNG,"Andir, Bandung",3,2,1,1600000000,70,116
Rumah Terawat Nyaman Dan Aman di Sayap Garuda Bandung,"Andir, Bandung",4,5,0,4750000000,405,700
Rumah town house di pusat kota bandung,"Andir, Bandung",2,1,0,800000000,41,35
New House di Jalan Kembar Bandung,"Andir, Bandung",3,2,1,1950000000,102,130
"Rumah Diijual Bagus di Town House Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116
"Rumah 2 Lantai Bagus Langka Di Andir Pusat Kota Bandung Rumah Semi Furnished SHM - Sertifikat Hak Milik Bagus di Andir Bandung, Andir","Andir, Bandung",3,2,2,4000000000,202,360
Rumah Tengah Kota Dim Komplek Kartalaksana Andir Bandung,"Andir, Bandung",3,2,2,4000000000,202,360
Dijual rumahSiap huni Town house  andir,"Andir, Bandung",3,2,1,1600000000,70,116
tanah murah BU sayap sudirman jamika andir pusat kota ,"Andir, Bandung",3,2,1,1600000000,150,90
Rumah Tinggal Cocok Untuk Home Industry Pusat Kota,"Andir, Bandung",2,2,1,1980000000,153,125
Jual Rumah Baru 2 Lantai Minimalis di Jln.Andir Bandung,"Andir, Bandung",3,2,1,1700000000,70,116
Rumah bonus Gudang di bandung dekat dengan Bandara,"Andir, Bandung",2,2,1,21000000000,500,964
Rumah Dijual di Andir Bandung,"Andir, Bandung",5,3,2,4500000000,404,300
